Event,Days,Site,Reef,Array,Subs,Tag,Position,Sed 1,Sed 2,Sed 3,Sed 4,Sed 5,Sed 6
3 Month,90,Clip,Artificial Reef,XC8,High,872,4,2,2,1,1,1,1
3 Month,90,Clip,Artificial Reef,XC8,High,890,2,4,6,4,2,4,1
3 Month,90,Clip,Artificial Reef,XC8,High,890,4,4,3,3,4,3,3
3 Month,90,Clip,Artificial Reef,XC8,High,250,2,1,1,0,0,0,0
3 Month,90,Clip,Artificial Reef,XC8,High,250,4,2,2,1,1,1,1
3 Month,90,Clip,Artificial Reef,XC8,High,851,2,1,1,0,2,0,1
3 Month,90,Clip,Artificial Reef,XC8,High,851,4,1,1,2,0,0,1
6 Month,180,JA4,Inner Reef,G37,Low,873,2,2,2,3,3,3,2
6 Month,180,JA4,Inner Reef,G37,Low,873,4,1,1,3,2,2,2
6 Month,180,JA4,Inner Reef,G37,High,940,2,4,5,3,4,4,5
6 Month,180,JA4,Inner Reef,G37,High,940,4,2,2,2,3,3,3
6 Month,180,JA4,Inner Reef,G37,High,870,2,1,2,3,3,2,2
6 Month,180,JA4,Inner Reef,G37,High,870,4,1,2,3,2,2,2
6 Month,180,JA4,Inner Reef,G37,Low,894,2,2,2,3,3,3,2
6 Month,180,JA4,Inner Reef,G37,Low,894,4,3,3,3,3,3,3
6 Month,180,JA4,Inner Reef,G37,High,883,2,2,2,2,3,3,3
6 Month,180,JA4,Inner Reef,G37,High,883,4,1,1,1,1,2,2
6 Month,180,JA4,Inner Reef,G37,High,854,2,2,2,2,2,2,2
6 Month,180,JA4,Inner Reef,G37,High,854,4,2,2,2,2,2,3
6 Month,180,JA4,Inner Reef,G37,Low,866,2,1,2,2,2,2,3
6 Month,180,JA4,Inner Reef,G37,Low,866,4,3,3,3,2,2,2
6 Month,180,JA4,Inner Reef,G37,Low,850,2,4,4,4,4,2,2
6 Month,180,JA4,Inner Reef,G37,Low,850,4,2,2,2,2,2,2
6 Month,180,JA4,Inner Reef,G37,High,880,2,2,2,2,2,3,3
6 Month,180,JA4,Inner Reef,G37,High,880,4,2,2,2,2,2,1
6 Month,180,JA4,Inner Reef,G37,Low,862,2,3,2,2,3,1,1
6 Month,180,JA4,Inner Reef,G37,Low,862,4,3,3,3,2,2,2
6 Month,180,JA4,Inner Reef,G37,High,874,2,1,1,2,2,3,3
6 Month,180,JA4,Inner Reef,G37,High,874,4,2,2,2,1,1,2
6 Month,180,JA4,Inner Reef,G37,Low,859,2,1,2,3,3,2,1
6 Month,180,JA4,Inner Reef,G37,Low,859,4,1,1,1,1,1,1
6 Month,180,JA4,Inner Reef,H24,Low,10,4,0,0,1,0,0,0
6 Month,180,JA4,Inner Reef,H24,Low,30,2,0,0,1,0,0,1
6 Month,180,JA4,Inner Reef,H24,Low,30,4,0,0,0,0,0,0
6 Month,180,JA4,Inner Reef,H24,High,844,2,0,0,1,1,2,0
6 Month,180,JA4,Inner Reef,H24,High,844,4,2,0,1,0,0,1
6 Month,180,JA4,Inner Reef,H24,High,48,2,3,1,0,2,1,3
6 Month,180,JA4,Inner Reef,H24,High,48,4,1,1,0,0,0,0
6 Month,180,JA4,Inner Reef,H24,High,831,2,0,1,0,0,0,0
6 Month,180,JA4,Inner Reef,H24,High,831,4,2,1,0,2,0,0
6 Month,180,JA4,Inner Reef,H24,Low,46,2,1,1,2,0,0,0
6 Month,180,JA4,Inner Reef,H24,Low,46,4,1,3,3,2,1,0
6 Month,180,JA4,Inner Reef,H24,High,824,2,3,1,4,1,2,1
6 Month,180,JA4,Inner Reef,H24,High,824,4,1,0,0,2,0,1
6 Month,180,JA4,Inner Reef,H24,Low,1,2,4,2,3,1,0,
6 Month,180,JA4,Inner Reef,H24,Low,1,4,3,2,0,1,1,1
6 Month,180,JA4,Inner Reef,H24,Low,20,2,3,2,0,1,3,1
6 Month,180,JA4,Inner Reef,H24,Low,20,4,0,2,2,1,0,1
6 Month,180,JA4,Inner Reef,H24,High,1098,2,1,1,0,0,0,0
6 Month,180,JA4,Inner Reef,H24,High,1098,4,1,0,0,0,0,0
6 Month,180,JA4,Inner Reef,H24,Low,47,2,1,1,1,2,0,1
6 Month,180,JA4,Inner Reef,H24,Low,47,4,4,2,0,1,1,1
6 Month,180,JA4,Inner Reef,H24,High,842,2,1,1,1,0,0,0
6 Month,180,JA4,Inner Reef,H24,High,842,4,3,2,1,0,1,2
6 Month,180,JA6,Nearshore,X17,Low,419,2,5,6,5,4,5,3
6 Month,180,JA6,Nearshore,X17,Low,419,4,6,6,5,4,3,4
6 Month,180,JA6,Nearshore,X17,High,355,2,0,1,1,1,2,1
6 Month,180,JA6,Nearshore,X17,High,355,4,3,3,2,1,1,0
6 Month,180,JA6,Nearshore,X17,High,441,2,1,1,1,1,0,2
6 Month,180,JA6,Nearshore,X17,High,441,4,0,0,0,1,0,0
6 Month,180,JA6,Nearshore,X17,High,910,2,1,0,0,1,0,0
6 Month,180,JA6,Nearshore,X17,High,910,4,3,0,0,2,1,0
6 Month,180,JA6,Nearshore,X17,Low,427,2,2,2,5,4,2,2
6 Month,180,JA6,Nearshore,X17,Low,427,4,6,6,5,3,4,6
6 Month,180,JA6,Nearshore,X17,High,409,2,2,1,1,1,0,0
6 Month,180,JA6,Nearshore,X17,High,409,4,3,6,2,3,4,1
6 Month,180,JA6,Nearshore,X17,Low,924,2,7,7,6,5,6,5
6 Month,180,JA6,Nearshore,X17,Low,924,4,7,7,5,2,4,5
6 Month,180,JA6,Nearshore,X17,High,931,2,0,0,0,1,1,2
6 Month,180,JA6,Nearshore,X17,High,931,4,0,0,0,0,1,0
6 Month,180,JA6,Nearshore,X17,Low,914,2,0,6,6,5,4,4
6 Month,180,JA6,Nearshore,X17,Low,914,4,7,0,0,5,4,5
6 Month,180,JA6,Nearshore,X17,Low,423,2,7,6,7,5,4,5
6 Month,180,JA6,Nearshore,X17,Low,423,4,1,7,7,6,5,6
6 Month,180,JA6,Nearshore,X17,High,455,2,0,0,0,1,0,0
6 Month,180,JA6,Nearshore,X17,High,455,4,0,0,0,0,0,0
6 Month,180,JA6,Nearshore,X17,Low,933,2,3,2,5,4,2,3
6 Month,180,JA6,Nearshore,X17,Low,933,4,7,8,3,5,4,6
6 Month,180,JA6,Nearshore,G24,High,49,2,1,1,1,2,2,2
6 Month,180,JA6,Nearshore,G24,High,49,4,1,1,1,1,2,2
6 Month,180,JA6,Nearshore,G24,Low,57,2,1,1,2,2,3,2
6 Month,180,JA6,Nearshore,G24,Low,57,4,1,2,2,2,2,2
6 Month,180,JA6,Nearshore,G24,Low,58,2,3,3,3,3,2,2
6 Month,180,JA6,Nearshore,G24,Low,58,4,2,2,2,2,2,2
6 Month,180,JA6,Nearshore,G24,Low,66,2,2,2,2,2,1,1
6 Month,180,JA6,Nearshore,G24,Low,66,4,3,3,2,1,1,2
6 Month,180,JA6,Nearshore,G24,High,48,2,2,2,2,2,2,1
6 Month,180,JA6,Nearshore,G24,High,48,4,2,2,2,2,2,1
6 Month,180,JA6,Nearshore,G24,Low,50,2,2,2,2,2,1,0
6 Month,180,JA6,Nearshore,G24,Low,50,4,1,1,1,1,1,2
6 Month,180,JA6,Nearshore,G24,Low,1071,2,3,3,3,3,2,2
6 Month,180,JA6,Nearshore,G24,Low,1071,4,1,1,1,2,2,1
6 Month,180,JA6,Nearshore,G24,Low,1083,2,1,1,1,1,2,
6 Month,180,JA6,Nearshore,G24,Low,1083,4,2,2,3,3,2,1
6 Month,180,JA6,Nearshore,G24,High,923,2,0,0,0,0,1,1
6 Month,180,JA6,Nearshore,G24,High,923,4,0,0,0,0,1,1
6 Month,180,JA6,Nearshore,G24,High,65,2,1,1,1,1,1,2
6 Month,180,JA6,Nearshore,G24,High,65,4,1,1,1,0,0,0
